,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,buala,-8.145,159.5921,27.57,77,100,3.26,SB,1612411989
1,ushuaia,-54.8,-68.3,9.0,87,75,1.54,AR,1612411884
2,faanui,-16.4833,-151.75,25.69,78,99,4.49,PF,1612411991
3,mataura,-46.1927,168.8643,17.96,38,0,3.79,NZ,1612411992
4,barrow,71.2906,-156.7887,-34.0,85,1,5.66,US,1612411968
5,kavieng,-2.5744,150.7967,29.13,67,29,3.0,PG,1612411994
6,beyneu,45.3167,55.2,3.5,81,96,2.25,KZ,1612411995
7,chokurdakh,70.6333,147.9167,-19.53,90,92,6.92,RU,1612411997
8,tessalit,20.1986,1.0114,18.07,24,0,7.09,ML,1612411998
9,cheremukhovo,60.3484,59.9851,-12.68,93,100,0.92,RU,1612411999
10,garowe,8.4054,48.4845,15.71,62,0,2.86,SO,1612412000
11,torbay,47.6666,-52.7314,9.0,100,90,7.2,CA,1612412001
12,haines junction,60.7522,-137.5108,-30.0,76,98,0.51,CA,1612412002
13,upernavik,72.7868,-56.1549,-26.3,70,0,1.88,GL,1612412003
14,plettenberg bay,-34.0527,23.3716,18.13,88,36,1.28,ZA,1612412004
15,rikitea,-23.1203,-134.9692,25.59,71,0,5.66,PF,1612412006
16,severo-kurilsk,50.6789,156.125,-11.53,92,100,13.87,RU,1612412007
17,cap malheureux,-19.9842,57.6142,28.33,74,0,1.34,MU,1612412008
18,yuma,32.7253,-114.6244,22.22,35,75,6.17,US,1612412009
19,itapuranga,-15.5622,-49.9486,20.88,90,100,0.51,BR,1612412010
20,hambantota,6.1241,81.1185,26.0,83,90,5.66,LK,1612412012
21,tasiilaq,65.6145,-37.6368,-8.06,94,69,5.18,GL,1612412013
22,samana,19.2056,-69.3369,22.43,88,71,3.54,DO,1612412014
23,nador,35.174,-2.9287,14.0,82,0,2.06,MA,1612412016
24,qaanaaq,77.484,-69.3632,-30.34,63,0,1.99,GL,1612412017
25,tupelo,34.2576,-88.7034,3.0,70,1,2.0,US,1612411887
26,albany,42.6001,-73.9662,-1.67,60,62,5.36,US,1612411810
27,seybaplaya,19.65,-90.6667,19.0,68,1,5.14,MX,1612412020
28,bengkulu,-3.8004,102.2655,29.68,63,81,2.97,ID,1612411926
29,teshie,5.5836,-0.1072,28.0,89,75,4.63,GH,1612412023
30,laguna,38.421,-121.4238,10.56,81,1,1.54,US,1612412024
31,jutai,-5.1833,-68.9,23.42,96,100,1.14,BR,1612412026
32,faya,18.3851,42.4509,13.0,32,0,1.11,SA,1612412027
33,monrovia,6.3005,-10.7969,24.0,100,20,2.92,LR,1612412028
